InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
INV1000,STK489,Laptop,7,2023-01-01,233.01,12181,UK
INV1001,STK300,T-shirt,6,2023-01-02,412.11,10595,Germany
INV1002,STK801,Bag,4,2023-01-03,358.01,17347,UK
INV1003,STK469,Shoes,1,2023-01-04,251.4,11452,Canada
INV1004,STK761,Pen,7,2023-01-05,466.92,11954,Germany
INV1005,STK169,Laptop,6,2023-01-06,63.98,17732,Canada
INV1006,STK355,T-shirt,7,2023-01-07,274.3,16942,India
INV1007,STK753,T-shirt,6,2023-01-08,467.79,12267,India
INV1008,STK911,T-shirt,7,2023-01-09,397.5,11133,India
INV1009,STK709,Laptop,8,2023-01-10,182.54,13084,USA
INV1010,STK742,Bag,3,2023-01-11,412.31,16424,India
INV1011,STK814,Phone,10,2023-01-12,218.05,12045,Canada
INV1012,STK111,Book,10,2023-01-13,197.34,16817,Germany
INV1013,STK488,T-shirt,9,2023-01-14,192.24,13711,USA
INV1014,STK953,Shoes,5,2023-01-15,361.82,11225,India
INV1015,STK689,Bag,2,2023-01-16,140.42,14557,India
INV1016,STK414,Shoes,7,2023-01-17,404.78,16010,Germany
INV1017,STK556,Phone,4,2023-01-18,275.6,11018,USA
INV1018,STK964,Phone,8,2023-01-19,144.97,14438,Germany
INV1019,STK382,Laptop,3,2023-01-20,279.01,15940,India
INV1020,STK886,Phone,9,2023-01-21,121.5,16585,UK
INV1021,STK327,Pen,8,2023-01-22,289.35,16086,India
INV1022,STK848,Phone,7,2023-01-23,289.66,10934,USA
INV1023,STK523,Shoes,9,2023-01-24,457.44,19824,Canada
INV1024,STK542,T-shirt,9,2023-01-25,417.4,13880,UK
INV1025,STK639,Book,7,2023-01-26,139.09,12327,India
INV1026,STK426,Phone,7,2023-01-27,490.42,14090,Germany
INV1027,STK544,Book,4,2023-01-28,183.12,19363,Germany
INV1028,STK921,Shoes,6,2023-01-29,171.34,13439,UK
INV1029,STK205,Bag,5,2023-01-30,408.51,12016,India
INV1030,STK923,Pen,8,2023-01-31,319.32,16735,Canada
INV1031,STK532,Bag,10,2023-02-01,227.89,18949,India
INV1032,STK503,Pen,5,2023-02-02,251.99,18975,Germany
INV1033,STK178,Bag,3,2023-02-03,17.01,19427,India
INV1034,STK499,T-shirt,1,2023-02-04,478.54,12121,Canada
INV1035,STK644,Shoes,4,2023-02-05,121.91,16153,USA
INV1036,STK621,Book,3,2023-02-06,72.69,13995,USA
INV1037,STK897,T-shirt,3,2023-02-07,171.87,16669,Germany
INV1038,STK367,Phone,9,2023-02-08,319.35,15439,Germany
INV1039,STK656,Book,9,2023-02-09,467.47,12469,USA
INV1040,STK566,Shoes,10,2023-02-10,465.31,16029,Canada
INV1041,STK285,Phone,4,2023-02-11,199.81,11166,UK
INV1042,STK926,Pen,8,2023-02-12,119.49,17437,USA
INV1043,STK546,Pen,5,2023-02-13,454.7,19204,UK
INV1044,STK796,Book,3,2023-02-14,299.55,17530,UK
INV1045,STK907,Phone,1,2023-02-15,212.82,14055,UK
INV1046,STK231,T-shirt,5,2023-02-16,444.59,18093,USA
INV1047,STK429,Laptop,8,2023-02-17,441.25,12475,USA
INV1048,STK383,Bag,9,2023-02-18,395.41,12541,Canada
INV1049,STK489,Book,6,2023-02-19,222.35,18593,UK
INV1050,STK178,T-shirt,3,2023-02-20,71.57,12830,Canada
INV1051,STK716,Phone,1,2023-02-21,453.9,17643,Canada
INV1052,STK796,Bag,5,2023-02-22,274.32,18011,Germany
INV1053,STK203,Bag,2,2023-02-23,339.08,12956,UK
INV1054,STK385,Pen,2,2023-02-24,403.12,10438,India
INV1055,STK375,Book,4,2023-02-25,115.67,10036,USA
INV1056,STK721,Phone,2,2023-02-26,317.72,14386,USA
INV1057,STK893,Bag,9,2023-02-27,233.78,16840,India
INV1058,STK343,T-shirt,2,2023-02-28,347.14,18366,Germany
INV1059,STK805,Pen,2,2023-03-01,5.02,18143,USA
INV1060,STK775,Laptop,7,2023-03-02,74.61,12549,Canada
INV1061,STK528,T-shirt,6,2023-03-03,252.19,15519,India
INV1062,STK435,Shoes,1,2023-03-04,197.24,13679,USA
INV1063,STK252,Bag,6,2023-03-05,246.58,13098,UK
INV1064,STK332,T-shirt,8,2023-03-06,396.51,14517,USA
INV1065,STK525,Shoes,5,2023-03-07,436.5,18399,USA
INV1066,STK324,T-shirt,3,2023-03-08,248.63,18694,Canada
INV1067,STK361,Laptop,8,2023-03-09,365.05,19098,UK
INV1068,STK884,Pen,4,2023-03-10,81.06,11190,Canada
INV1069,STK188,Pen,9,2023-03-11,243.1,14867,Germany
INV1070,STK731,Bag,7,2023-03-12,46.52,12504,India
INV1071,STK284,Laptop,4,2023-03-13,119.46,16030,India
INV1072,STK928,Phone,7,2023-03-14,304.84,15580,USA
INV1073,STK996,Book,4,2023-03-15,119.05,16376,India
INV1074,STK804,Book,8,2023-03-16,267.41,12094,Germany
INV1075,STK836,Phone,6,2023-03-17,436.24,17244,Canada
INV1076,STK344,Shoes,4,2023-03-18,109.6,13487,UK
INV1077,STK671,Laptop,5,2023-03-19,408.94,13146,USA
INV1078,STK296,T-shirt,6,2023-03-20,269.53,15824,Canada
INV1079,STK120,T-shirt,5,2023-03-21,355.7,16878,USA
INV1080,STK614,Shoes,7,2023-03-22,86.92,12227,USA
INV1081,STK343,Shoes,9,2023-03-23,462.34,15436,Germany
INV1082,STK735,Phone,8,2023-03-24,278.91,16940,UK
INV1083,STK407,Phone,9,2023-03-25,44.65,15393,USA
INV1084,STK159,Book,3,2023-03-26,478.32,14460,USA
INV1085,STK188,Bag,5,2023-03-27,88.55,13980,USA
INV1086,STK196,Laptop,8,2023-03-28,355.26,18633,Canada
INV1087,STK661,T-shirt,3,2023-03-29,121.64,15033,Germany
INV1088,STK892,Bag,1,2023-03-30,371.92,13222,Canada
INV1089,STK311,Bag,8,2023-03-31,109.31,10079,UK
INV1090,STK475,Bag,8,2023-04-01,378.63,16857,Germany
INV1091,STK707,Pen,10,2023-04-02,267.24,17714,UK
INV1092,STK482,Bag,7,2023-04-03,38.67,19658,UK
INV1093,STK485,Book,3,2023-04-04,93.21,15005,UK
INV1094,STK850,Phone,3,2023-04-05,493.39,13539,India
INV1095,STK689,Laptop,5,2023-04-06,208.57,15139,UK
INV1096,STK653,Phone,2,2023-04-07,184.13,19922,UK
INV1097,STK858,Pen,9,2023-04-08,16.43,16884,Canada
INV1098,STK366,Laptop,5,2023-04-09,283.49,18124,Canada
INV1099,STK732,Bag,8,2023-04-10,238.86,18887,USA
INV1100,STK756,Phone,10,2023-04-11,311.84,18175,Germany
INV1101,STK670,Phone,5,2023-04-12,60.89,13242,UK
INV1102,STK990,Book,4,2023-04-13,473.42,14498,Germany
INV1103,STK870,T-shirt,10,2023-04-14,420.45,13887,Germany
INV1104,STK666,Bag,4,2023-04-15,13.78,15114,India
INV1105,STK472,Shoes,2,2023-04-16,221.73,17108,Canada
INV1106,STK905,Bag,3,2023-04-17,226.81,16301,USA
INV1107,STK975,Pen,4,2023-04-18,190.86,16715,USA
